Iteration,Time_si,Walltime,Optimization,ForceX_si,ForceY_si,Moment_si,PowerX_si,PowerY_si,PowerR_si,Power_si,Power2_si,VolumeW_si,Objective,Objective_si
300000,0.5,218.352801,1,19.043830993859,-405.15167164602,0.010784475972185,644.76776399152,0,14.07138050551,658.83914449701,0,0.75000310380939,-120.72993320776,-120.72993320776
150000,0.25,1425.094984,1,19.043830993859,-405.15167164602,0.010784475972185,644.76776399152,0,14.07138050551,658.83914449701,0,0.75000310380939,-120.72993320776,-120.72993320776
600000,1,1561.151344,2,8.321107988783,451.55143582822,-0.001880067596273,65.909568426163,0,30.954849676367,96.864418102532,0,0.74999830786271,-2457.7452631032,-2457.7452631032
450000,0.75,2764.013322,2,8.321107988783,451.55143582822,-0.001880067596273,65.909568426163,0,30.954849676367,96.864418102532,0,0.74999830786271,-2457.7452631032,-2457.7452631032
900000,1.5,2898.481373,3,18.951441878149,-273.26955101717,0.012824532696564,408.53838898858,0,14.807682228508,423.34607121707,0,0.74999986442022,-15.832671414989,-15.832671414989
750000,1.25,4098.12628,3,18.951441878149,-273.26955101717,0.012824532696564,408.53838898858,0,14.807682228508,423.34607121707,0,0.74999986442022,-15.832671414989,-15.832671414989
1200000,2,4237.040881,4,18.074345933409,-345.98427991228,0.009832608359519,502.19633455042,0,16.464552838925,518.66088738937,0,0.75000179605855,34.017584363597,34.017584363597
1050000,1.75,5437.945693,4,18.074345933409,-345.98427991228,0.009832608359519,502.19633455042,0,16.464552838925,518.66088738937,0,0.75000179605855,34.017584363597,34.017584363597
1500000,2.5,5572.90367,5,18.533050354584,-307.69839472145,0.010869400910734,444.84301509438,0,17.016178903998,461.85919399838,0,0.75000772986846,28.406196328228,28.406196328228
1350000,2.25,6773.19274,5,18.533050354584,-307.69839472145,0.010869400910734,444.84301509438,0,17.016178903998,461.85919399838,0,0.75000772986846,28.406196328228,28.406196328228
1800000,3,6910.721571,6,18.392020229938,-332.43452369556,0.010557327253633,482.01619876197,0,16.78326389509,498.79946265707,0,0.7500031247617,31.279188891022,31.279188891022
1650000,2.75,8106.595729,6,18.392020229938,-332.43452369556,0.010557327253633,482.01619876197,0,16.78326389509,498.79946265707,0,0.7500031247617,31.279188891022,31.279188891022
2100000,3.5,8246.358812,7,18.470781192367,-341.13767540578,0.009534057755737,493.1970726381,0,16.32633760997,509.52341024808,0,0.75000402017313,39.379627053511,39.379627053511
1950000,3.25,9437.702347,7,18.470781192367,-341.13767540578,0.009534057755737,493.1970726381,0,16.32633760997,509.52341024808,0,0.75000402017313,39.379627053511,39.379627053511
2400000,4,9573.453324,8,18.287334469807,-338.70868118932,0.00989023757595,487.43446240565,0,17.837391289876,505.27185369554,0,0.75000246712884,41.044214225592,41.044214225592
2250000,3.75,10768.862094,8,18.287334469807,-338.70868118932,0.00989023757595,487.43446240565,0,17.837391289876,505.27185369554,0,0.75000246712884,41.044214225592,41.044214225592
2700000,4.5,10905.540319,9,18.191296506197,-340.24958628749,0.009753628907823,489.20326230423,0,17.534874126858,506.73813643111,0,0.75000299735135,43.827046119351,43.827046119351
2550000,4.25,12099.736761,9,18.191296506197,-340.24958628749,0.009753628907823,489.20326230423,0,17.534874126858,506.73813643111,0,0.75000299735135,43.827046119351,43.827046119351
3000000,5,12234.149635,10,17.22807088778,-338.23754524171,0.01037749587817,490.52191078257,0,15.596851259483,506.11876204207,0,0.74999945852145,36.153657353981,36.153657353981
2850000,4.75,13429.236457,10,17.22807088778,-338.23754524171,0.01037749587817,490.52191078257,0,15.596851259483,506.11876204207,0,0.74999945852145,36.153657353981,36.153657353981
3300000,5.5,13565.580255,11,17.964417874249,-341.37408166013,0.009637777128421,490.81099658934,0,16.876423688955,507.68742027829,0,0.74999497027778,46.234477041707,46.234477041707
3150000,5.25,14754.187759,11,17.964417874249,-341.37408166013,0.009637777128421,490.81099658934,0,16.876423688955,507.68742027829,0,0.74999497027778,46.234477041707,46.234477041707
3600000,6,14893.868687,12,18.057861797284,-341.06654159722,0.009520841857055,490.36687141196,0,16.591710843637,506.95858225561,0,0.74999521306217,47.039509202757,47.039509202757
3450000,5.75,16091.275376,12,18.057861797284,-341.06654159722,0.009520841857055,490.36687141196,0,16.591710843637,506.95858225561,0,0.74999521306217,47.039509202757,47.039509202757
3900000,6.5,16231.13009,13,18.397076407772,-340.18047747508,0.009235923425229,488.7878862338,0,16.594918221975,505.38280445578,0,0.74999683688388,47.724288008745,47.724288008745
3750000,6.25,17421.693613,13,18.397076407772,-340.18047747508,0.009235923425229,488.7878862338,0,16.594918221975,505.38280445578,0,0.74999683688388,47.724288008745,47.724288008745
4200000,7,17556.011667,14,18.42425019378,-340.06398690543,0.009181023203947,488.37475635127,0,16.718082853739,505.09283920501,0,0.7499965690471,48.072555793473,48.072555793473
4050000,6.75,18750.933707,14,18.42425019378,-340.06398690543,0.009181023203947,488.37475635127,0,16.718082853739,505.09283920501,0,0.7499965690471,48.072555793473,48.072555793473
4500000,7.5,18886.416175,15,18.522274973121,-339.47551717261,0.008965364122351,486.5780962159,0,17.235004095621,503.81310031154,0,0.74999537330141,49.254684182241,49.254684182241
4350000,7.25,20078.265903,15,18.522274973121,-339.47551717261,0.008965364122351,486.5780962159,0,17.235004095621,503.81310031154,0,0.74999537330141,49.254684182241,49.254684182241
4800000,8,20212.619602,16,19.081363279235,-335.848009135,0.007510873954601,475.85516217727,0,20.887974115704,496.74313629299,0,0.75000108705748,53.98811357091,53.98811357091
4650000,7.75,21402.933721,16,19.081363279235,-335.848009135,0.007510873954601,475.85516217727,0,20.887974115704,496.74313629299,0,0.75000108705748,53.98811357091,53.98811357091
5100000,8.5,21536.838954,17,19.291003241573,-336.57423837733,0.006911523840146,476.0024932584,0,21.39274052606,497.39523378446,0,0.75000262519231,55.421182980459,55.421182980459
4950000,8.25,22723.202707,17,19.291003241573,-336.57423837733,0.006911523840146,476.0024932584,0,21.39274052606,497.39523378446,0,0.75000262519231,55.421182980459,55.421182980459
5400000,9,22863.27656,18,20.112140397505,-344.5707447962,0.005055038641846,489.78319185843,0,21.530178200972,511.31337005941,0,0.75000084620743,50.185828177064,50.185828177064
5250000,8.75,24047.304913,18,20.112140397505,-344.5707447962,0.005055038641846,489.78319185843,0,21.530178200972,511.31337005941,0,0.75000084620743,50.185828177064,50.185828177064
5700000,9.5,24186.97747,19,19.330668545913,-337.99722094871,0.006575029070242,477.8165263755,0,21.275284597015,499.09181097253,0,0.75000451277864,56.922804376054,56.922804376054
5550000,9.25,25374.26842,19,19.330668545913,-337.99722094871,0.006575029070242,477.8165263755,0,21.275284597015,499.09181097253,0,0.75000451277864,56.922804376054,56.922804376054
6000000,10,25507.744524,20,19.870063749462,-342.1920285845,0.006427481312641,487.52867715986,0,20.397111000285,507.92578816015,0,0.75000264999508,49.395776679226,49.395776679226
5850000,9.75,26696.254809,20,19.870063749462,-342.1920285845,0.006427481312641,487.52867715986,0,20.397111000285,507.92578816015,0,0.75000264999508,49.395776679226,49.395776679226
6300000,10.5,26831.60349,21,19.343923259941,-338.85461283689,0.006476054170472,479.16725057891,0,21.062265405194,500.2295159841,0,0.75000574188493,57.467457822113,57.467457822113
